name,description,address,postalCode,latlng,status,companyName,domainName
Eco Dua@Sungai Petani Branch,,"Lot 1512, Kg Haji Wahab, Jalan Ria Jaya, 08000 Sungai Petani, Kedah.",08000,,ACTIVE,Eco Dua@Sungai Petani Branch,ECO DUA
Eco Dua@Teluk Intan Branch,,"No.27 & 28, Persiaran Melor 1, Taman Melor 3, Jalan Sungai Manik, 36000 Teluk Intan, Perak.",36000,,ACTIVE,Eco Dua@Teluk Intan Branch,ECO DUA
Eco Dua@Raub Branch,,"47 & 48, Tkt Bawah, Jalan Perdagangan Raub, Pahang.",27600,,ACTIVE,Eco Dua@Raub Branch,ECO DUA
Eco Dua@Kepala Batas Branch,,"No.11A,15,17,19 (Grd & 1St Floor), Lorong Bertam Ria 2, Taman Bertam Ria, 13200 Kepala Batas, Pulau Pinang.",13200,,ACTIVE,Eco Dua@Kepala Batas Branch,ECO DUA
Eco Dua@Rawang Branch,,"Lot No 6, 7, 8, 9, 10, Lot (13152), Jalan BJ2, Taman Perindustrian Belmas Johan, 48000 Rawang, Selangor.",48000,,ACTIVE,Eco Dua@Rawang Branch,ECO DUA
Eco Dua@Taman Universiti Johor Branch,,"No. 2 & 4, Jalan Pendidikan 8, Taman Universiti, 81300 Skudai, Johor.",81300,,ACTIVE,Eco Dua@Taman Universiti Johor Branch,ECO DUA
Eco Dua@Ampangan Branch,,"No.201, 202 & 205(Grd Floor), No.203 & 204 (Grd & 1ST Floor), Jalan Persiaran Bukit Coral 1, Taman Bukit Coral, Sikamat, 70400 Seremban, Negeri Sembilan.",70400,,ACTIVE,Eco Dua@Ampangan Branch,ECO DUA
Eco Dua@Semenyih Branch,,"No. 2 (Ground , 1st & 2nd Floor), 2A, 6, 8, 10, 12 (Ground Floor), Jalan Vista Valley 3, Semenyih Vista Valley, 43500 Semenyih, Selangor.",43500,,ACTIVE,Eco Dua@Semenyih Branch,ECO DUA
Eco Dua@Taiping Branch,,"Lot 5820 & 5821 Jalan Simpang, 34700 Taiping, Perak.",34700,,ACTIVE,Eco Dua@Taiping Branch,ECO DUA
Eco Dua@Kuala Lipis Branch,,"K13, K15, K16, K17, K18, Lorong Bbkl 2/1/12, Bandar Baru Seberang Jelai, 27200 Kuala Lipis, Pahang.",27200,,ACTIVE,Eco Dua@Kuala Lipis Branch,ECO DUA
Eco Dua@Sri Petaling Branch,,"80 (1st Floor), 82 (Grd & 1st Floor), 84 (Grd & 1st Floor),86 (Grd & 1st & 2nd Floor), Jalan Radin Anum 1, 57000 Bandar Baru Seri Petaling, Kuala Lumpur",57000,,ACTIVE,Eco Dua@Sri Petaling Branch,ECO DUA
Eco Dua@Gombak Branch,,"Unit 3A-g, 3a-1, Unit 5-G, G-1, Unit 6-G, Unit 6-1, Unit 7-1, KLTS, No.99, Jalan Gombak, Setapak, 53300 Kuala Lumpur",53300,,ACTIVE,Eco Dua@Gombak Branch,ECO DUA
Eco Dua@Tuan Muda Branch,,"Lot 8323, Kg Banggul Tuan Muda, 21200 Kuala Terengganu, Terengganu.",21200,,ACTIVE,Eco Dua@Tuan Muda Branch,ECO DUA
